iter	Passed	Remaining
0	0	872
1	1	806
2	2	757
3	2	732
4	3	731
5	4	744
6	5	737
7	5	730
8	6	722
9	7	720
10	8	752
11	9	754
12	10	763
13	11	780
14	12	791
15	12	798
16	13	794
17	14	798
18	15	796
19	16	793
20	17	793
21	17	798
22	18	801
23	19	811
24	20	815
25	21	818
26	22	816
27	23	814
28	24	806
29	26	863
30	27	858
31	28	851
32	28	844
33	29	838
34	30	831
35	30	825
36	31	826
37	32	823
38	33	821
39	34	818
40	34	814
41	35	815
42	36	816
43	37	816
44	38	813
45	39	813
46	40	813
47	40	812
48	41	812
49	42	812
50	43	810
51	44	809
52	45	808
53	45	805
54	46	805
55	47	804
56	48	804
57	49	804
58	50	801
59	51	799
60	51	797
61	52	796
62	53	797
63	54	795
64	55	794
65	56	795
66	57	795
67	57	794
68	58	793
69	59	790
70	60	789
71	61	789
72	62	788
73	62	787
74	63	784
75	64	784
76	65	784
77	66	784
78	67	782
79	67	781
80	68	779
81	69	779
82	70	779
83	71	778
84	72	778
85	73	776
86	73	775
87	74	774
88	75	773
89	76	772
90	77	772
91	78	771
92	78	770
93	79	769
94	80	769
95	81	768
96	82	768
97	83	764
98	83	763
99	84	762
100	85	761
101	86	758
102	87	758
103	87	756
104	88	756
105	89	755
106	90	754
107	91	752
108	91	751
109	92	750
110	93	749
111	94	748
112	95	747
113	96	748
114	97	747
115	97	746
116	98	744
117	99	743
118	100	741
119	100	739
120	101	739
121	102	738
122	103	737
123	104	736
124	105	735
125	105	735
126	106	734
127	107	732
128	108	731
129	109	729
130	109	728
131	110	727
132	111	726
133	112	725
134	113	725
135	114	724
136	114	723
137	115	722
138	116	721
139	117	720
140	118	719
141	119	719
142	119	718
143	120	718
144	121	717
145	122	716
146	123	715
147	124	715
148	125	714
149	125	713
150	126	713
151	127	713
152	128	712
153	129	712
154	130	711
155	131	708
156	131	708
157	132	707
158	133	706
159	134	705
160	135	704
161	136	704
162	137	704
163	137	703
164	138	702
165	139	701
166	140	700
167	141	700
168	142	699
169	143	698
170	144	698
171	145	698
172	145	697
173	146	696
174	147	696
175	148	695
176	149	693
177	150	692
178	150	691
179	151	689
180	152	688
181	152	686
182	153	685
183	154	684
184	155	683
185	155	682
186	156	681
187	157	680
188	158	679
189	159	678
190	160	677
191	160	676
192	161	675
193	162	674
194	162	672
195	163	671
196	164	670
197	165	669
198	166	668
199	166	667
200	167	665
201	168	663
202	168	662
203	169	661
204	170	661
205	171	660
206	172	660
207	173	659
208	174	659
209	175	659
210	175	657
211	176	657
212	177	656
213	178	655
214	179	655
215	180	654
216	181	653
217	182	653
218	182	652
219	183	651
220	184	650
221	185	649
222	186	648
223	186	647
224	187	646
225	188	645
226	189	644
227	190	643
228	190	642
229	191	641
230	192	640
231	193	639
232	193	638
233	194	637
234	195	636
235	196	635
236	197	634
237	197	633
238	198	632
239	199	631
240	200	631
241	201	630
242	202	629
243	203	629
244	204	628
245	204	627
246	205	626
247	206	625
248	207	624
249	208	624
250	208	623
251	209	622
252	210	622
253	211	621
254	212	620
255	213	620
256	214	619
257	215	618
258	215	617
259	216	616
260	217	615
261	218	614
262	218	613
263	219	612
264	220	611
265	221	610
266	221	609
267	222	608
268	223	607
269	224	606
270	225	606
271	226	605
272	226	604
273	227	603
274	228	602
275	229	601
276	230	600
277	230	599
278	231	598
279	232	597
280	233	596
281	234	596
282	234	595
283	235	594
284	236	593
285	237	592
286	238	591
287	239	590
288	239	589
289	240	588
290	241	587
291	242	587
292	242	586
293	243	585
294	244	584
295	245	583
296	246	582
297	246	581
298	247	580
299	248	579
300	249	578
301	250	577
302	250	576
303	251	575
304	252	575
305	253	574
306	253	573
307	254	572
308	255	571
309	256	570
310	257	569
311	257	568
312	258	567
313	259	566
314	260	565
315	261	565
316	261	564
317	262	563
318	263	562
319	264	561
320	265	561
321	266	560
322	266	559
323	267	558
324	268	557
325	269	556
326	270	556
327	271	555
328	271	554
329	272	553
330	273	552
331	274	551
332	275	550
333	275	549
334	276	549
335	277	548
336	278	547
337	278	546
338	279	545
339	280	544
340	281	543
341	282	543
342	283	542
343	283	541
344	284	540
345	285	539
346	286	538
347	287	537
348	287	536
349	288	535
350	289	534
351	290	534
352	290	533
353	291	532
354	292	531
355	293	530
356	294	529
357	294	528
358	295	527
359	296	526
360	297	525
361	297	524
362	298	524
363	299	523
364	300	522
365	300	521
366	301	520
367	302	519
368	303	518
369	304	517
370	304	517
371	305	516
372	306	515
373	307	514
374	308	513
375	308	512
376	309	511
377	310	510
378	311	510
379	312	509
380	312	508
381	313	507
382	314	506
383	315	505
384	315	504
385	316	503
386	317	502
387	318	501
388	318	501
389	319	500
390	320	499
391	321	498
392	321	497
393	322	496
394	323	495
395	324	494
396	325	493
397	325	492
398	326	491
399	327	490
400	327	489
401	328	488
402	329	488
403	330	487
404	331	486
405	332	485
406	332	484
407	333	483
408	334	483
409	335	482
410	335	481
411	336	480
412	337	479
413	338	478
414	338	477
415	339	477
416	340	476
417	341	475
418	342	474
419	343	473
420	343	472
421	344	471
422	345	471
423	346	470
424	346	469
425	347	468
426	348	467
427	349	466
428	349	465
429	350	464
430	351	464
431	352	463
432	353	462
433	354	461
434	354	461
435	355	460
436	356	459
437	357	458
438	358	457
439	358	456
440	359	455
441	360	454
442	361	454
443	361	453
444	362	452
445	363	451
446	364	450
447	364	449
448	365	448
449	366	448
450	367	447
451	367	446
452	369	445
453	370	445
454	370	444
455	371	443
456	372	442
457	373	441
458	374	440
459	374	440
460	375	439
461	376	438
462	377	437
463	378	436
464	378	435
465	379	434
466	380	434
467	381	433
468	381	432
469	382	431
470	383	430
471	384	429
472	385	429
473	385	428
474	386	427
475	387	426
476	388	425
477	388	424
478	389	423
479	390	423
480	391	422
481	391	421
482	392	420
483	393	419
484	394	418
485	395	417
486	395	417
487	396	416
488	397	415
489	398	414
490	399	413
491	400	413
492	400	412
493	401	411
494	402	410
495	403	409
496	404	409
497	404	408
498	405	407
499	406	406
500	407	405
501	408	404
502	408	404
503	409	403
504	410	402
505	411	401
506	412	400
507	412	399
508	413	398
509	414	398
510	415	397
511	415	396
512	416	395
513	417	394
514	418	393
515	418	392
516	419	392
517	420	391
518	421	390
519	422	389
520	422	388
521	423	387
522	424	387
523	425	386
524	426	385
525	427	384
526	427	384
527	428	383
528	429	382
529	430	381
530	430	380
531	431	379
532	432	378
533	433	378
534	433	377
535	434	376
536	435	375
537	436	374
538	437	373
539	437	372
540	438	372
541	439	371
542	440	370
543	441	369
544	441	368
545	442	368
546	443	367
547	444	366
548	445	365
549	445	364
550	446	364
551	447	363
552	448	362
553	449	361
554	450	360
555	450	360
556	451	359
557	452	358
558	453	357
559	454	356
560	454	355
561	455	355
562	456	354
563	457	353
564	457	352
565	458	351
566	459	350
567	460	350
568	461	349
569	461	348
570	462	347
571	463	346
572	464	345
573	464	345
574	465	344
575	466	343
576	467	342
577	468	341
578	469	341
579	469	340
580	470	339
581	471	338
582	472	337
583	473	337
584	474	336
585	474	335
586	475	334
587	476	333
588	477	332
589	478	332
590	478	331
591	479	330
592	480	329
593	481	328
594	481	328
595	482	327
596	483	326
597	484	325
598	485	324
599	485	323
600	486	323
601	487	322
602	488	321
603	488	320
604	489	319
605	490	318
606	491	318
607	492	317
608	493	316
609	493	315
610	494	314
611	495	314
612	496	313
613	497	312
614	498	311
615	498	310
616	499	310
617	500	309
618	501	308
619	502	307
620	502	306
621	503	306
622	504	305
623	504	304
624	505	303
625	506	302
626	507	301
627	508	300
628	508	300
629	509	299
630	510	298
631	511	297
632	511	296
633	512	295
634	513	295
635	514	294
636	514	293
637	515	292
638	516	291
639	517	290
640	518	290
641	518	289
642	519	288
643	520	287
644	521	287
645	522	286
646	522	285
647	523	284
648	524	283
649	525	282
650	526	282
651	527	281
652	527	280
653	528	279
654	529	278
655	530	278
656	530	277
657	531	276
658	532	275
659	532	274
660	533	273
661	534	272
662	535	272
663	535	271
664	536	270
665	537	269
666	538	268
667	539	268
668	540	267
669	540	266
670	541	265
671	542	264
672	543	264
673	544	263
674	544	262
675	545	261
676	546	260
677	547	259
678	548	259
679	548	258
680	549	257
681	550	256
682	551	255
683	552	255
684	553	254
685	553	253
686	554	252
687	555	251
688	556	251
689	556	250
690	557	249
691	558	248
692	559	247
693	559	246
694	560	246
695	561	245
696	562	244
697	562	243
698	563	242
699	564	241
700	565	241
701	566	240
702	567	239
703	567	238
704	568	237
705	569	237
706	570	236
707	570	235
708	571	234
709	572	233
710	573	233
711	574	232
712	574	231
713	575	230
714	576	229
715	577	229
716	578	228
717	578	227
718	579	226
719	580	225
720	581	224
721	582	224
722	582	223
723	583	222
724	584	221
725	585	220
726	585	220
727	586	219
728	587	218
729	588	217
730	588	216
731	589	215
732	590	215
733	591	214
734	592	213
735	592	212
736	593	211
737	594	211
738	595	210
739	596	209
740	596	208
741	597	207
742	598	207
743	599	206
744	600	205
745	600	204
746	601	203
747	602	202
748	603	202
749	604	201
750	604	200
751	605	199
752	606	198
753	607	198
754	607	197
755	608	196
756	609	195
757	610	194
758	610	193
759	611	193
760	612	192
761	613	191
762	614	190
763	614	189
764	615	189
765	616	188
766	617	187
767	617	186
768	618	185
769	619	185
770	620	184
771	621	183
772	621	182
773	622	181
774	623	181
775	624	180
776	625	179
777	626	178
778	627	177
779	627	177
780	628	176
781	629	175
782	630	174
783	631	173
784	631	173
785	632	172
786	633	171
787	634	170
788	634	169
789	635	168
790	636	168
791	637	167
792	638	166
793	639	165
794	639	164
795	640	164
796	641	163
797	642	162
798	642	161
799	643	160
800	644	160
801	645	159
802	646	158
803	646	157
804	647	156
805	648	156
806	649	155
807	650	154
808	650	153
809	651	152
810	652	152
811	653	151
812	653	150
813	654	149
814	655	148
815	656	147
816	657	147
817	657	146
818	658	145
819	659	144
820	660	143
821	661	143
822	661	142
823	662	141
824	663	140
825	664	139
826	664	139
827	665	138
828	666	137
829	667	136
830	668	135
831	669	135
832	669	134
833	670	133
834	671	132
835	672	131
836	673	131
837	673	130
838	674	129
839	675	128
840	676	127
841	677	127
842	677	126
843	678	125
844	679	124
845	680	123
846	681	123
847	682	122
848	682	121
849	683	120
850	684	119
851	685	119
852	686	118
853	687	117
854	688	116
855	689	115
856	690	115
857	691	114
858	691	113
859	692	112
860	693	111
861	694	111
862	695	110
863	695	109
864	696	108
865	697	107
866	698	107
867	699	106
868	699	105
869	700	104
870	701	103
871	702	103
872	702	102
873	703	101
874	704	100
875	705	99
876	706	99
877	706	98
878	707	97
879	708	96
880	709	95
881	709	94
882	710	94
883	711	93
884	712	92
885	712	91
